"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Togo",2019,"8.0",113,"Adventure, Biography, Drama            ",45559
"Airlift",2016,"8.0",130,"Drama, History            ",55895
"M.S. Dhoni: The Untold Story",2016,"8.0",184,"Biography, Drama, Sport            ",50945
"Bajrangi Bhaijaan",2015,"8.0",163,"Action, Adventure, Comedy            ",83340
"Baby",2015,"8.0",159,"Action, Crime, Thriller            ",56368
"La La Land",2016,"8.0",128,"Comedy, Drama, Music            ",554700
"Lion",2016,"8.0",118,"Biography, Drama            ",229302
"The Martian",2015,"8.0",144,"Adventure, Drama, Sci-Fi            ",815553
"Zootopia",2016,"8.0",108,"Animation, Adventure, Comedy            ",472180
"Bãhubali: The Beginning",2015,"8.0",159,"Action, Drama            ",111547
"Kaguya-hime no monogatari",2013,"8.0",137,"Animation, Drama, Family            ",44059
"Wonder",2017,"8.0",113,"Drama, Family            ",157133
"Special Chabbis",2013,"8.0",144,"Crime, Drama, Thriller            ",54805
"Short Term 12",2013,"8.0",96,"Drama            ",86230
"Serbuan maut 2: Berandal",2014,"8.0",150,"Action, Crime, Thriller            ",120387
"The Imitation Game",2014,"8.0",114,"Biography, Drama, Thriller            ",736118
"Guardians of the Galaxy",2014,"8.0",121,"Action, Adventure, Comedy            ",1122147
"Blade Runner 2049",2017,"8.0",164,"Action, Drama, Mystery            ",526813
"Her",2013,"8.0",126,"Drama, Romance, Sci-Fi            ",581487
"The Revenant",2015,"8.0",156,"Action, Adventure, Drama            ",764826
"Tropa de Elite 2: O Inimigo Agora é Outro",2010,"8.0",115,"Action, Crime, Drama            ",81950
"The King's Speech",2010,"8.0",118,"Biography, Drama, History            ",664983
"The Help",2011,"8.0",146,"Drama            ",444418
"Deadpool",2016,"8.0",108,"Action, Adventure, Comedy            ",977152
"Darbareye Elly",2009,"8.0",119,"Drama, Mystery            ",51868
